Customer_ID,Days_Since_Last_Purchase,Total_Orders,Total_Spent,R_Score,F_score,M_score,Final_RFM_Score,Segment
10001,25,5,2298.395444900226,4,3,3,10,Loyal Customers
10002,58,7,3406.54646081014,3,4,4,11,Loyal Customers
10003,181,5,2875.8384722113506,1,3,4,8,Potential Loyalists
10004,100,8,4555.787767649018,2,5,5,12,Loyal Customers
10005,80,4,2802.3195424831256,2,2,4,8,Potential Loyalists
10006,14,7,2936.5881029427446,5,4,4,13,Champions
10007,12,5,2571.290083806748,5,3,3,11,Loyal Customers
10008,222,4,2523.7870705197806,1,2,3,6,At Risk
10009,276,2,1009.6177791696504,1,1,1,3,Lost
10010,31,4,1054.137352704167,4,2,1,7,Potential Loyalists
10011,28,7,3149.19747988829,4,4,4,12,Loyal Customers
10012,65,9,5648.683840559279,3,5,5,13,Champions
10013,139,6,3951.6680794694425,1,4,5,10,Loyal Customers
10014,2,5,2157.91908502302,5,3,3,11,Loyal Customers
10015,83,5,2627.281638787456,2,3,3,8,Potential Loyalists
10016,266,4,1691.3447757382412,1,2,2,5,At Risk
10017,60,8,3739.5538164769146,3,5,5,13,Champions
10018,65,4,2173.3050086187477,3,2,3,8,Potential Loyalists
10019,45,8,5071.024421623793,3,5,5,13,Champions
10020,153,5,2079.980940596707,1,3,2,6,At Risk
10021,32,4,2595.525538921868,4,2,3,9,Potential Loyalists
10022,167,4,1717.514155880735,1,2,2,5,At Risk
10023,25,6,3829.0537758695737,4,4,5,13,Champions
10024,79,5,2345.717754601383,2,3,3,8,Potential Loyalists
10025,102,3,1103.9614523575592,2,1,1,4,At Risk
10026,81,5,3463.7855515186097,2,3,4,9,Potential Loyalists
10027,21,8,3573.05639074733,4,5,5,14,Champions
10028,41,14,4935.516239037761,4,5,5,14,Champions
10029,245,3,1042.2597290180652,1,1,1,3,Lost
10030,6,4,1857.728525772624,5,2,2,9,Potential Loyalists
10031,10,4,2912.920167569167,5,2,4,11,Loyal Customers
10032,68,6,3152.8118063112324,3,4,4,11,Loyal Customers
10033,59,4,2368.027774394416,3,2,3,8,Potential Loyalists
10034,159,5,2060.7321273229154,1,3,2,6,At Risk
10035,77,2,1037.6401762016426,2,1,1,4,At Risk
10036,210,1,437.8949462663986,1,1,1,3,Lost
10037,34,5,1664.149370954047,4,3,2,9,Potential Loyalists
10038,73,5,3903.5161687222944,3,3,5,11,Loyal Customers
