Customer_ID,Days_Since_Last_Purchase,Total_Orders,Total_Spent,R_Score,F_score,M_score,Final_RFM_Score
10001,25,5,2298.395444900226,4,3,3,10
10002,58,7,3406.54646081014,3,4,4,11
10003,181,5,2875.8384722113506,1,3,4,8
10004,100,8,4555.787767649018,2,5,5,12
10005,80,4,2802.3195424831256,2,2,4,8
10006,14,7,2936.5881029427446,5,4,4,13
10007,12,5,2571.2900838067476,5,3,3,11
10008,222,4,2523.7870705197806,1,2,3,6
10009,276,2,1009.6177791696505,1,1,1,3
10010,31,4,1054.137352704167,4,2,1,7
10011,28,7,3149.19747988829,4,4,4,12
10012,65,9,5648.683840559279,3,5,5,13
10013,139,6,3951.6680794694425,1,4,5,10
10014,2,5,2157.9190850230198,5,3,3,11
10015,83,5,2627.281638787456,2,3,3,8
10016,266,4,1691.3447757382412,1,2,2,5
10017,60,8,3739.5538164769146,3,5,5,13
10018,65,4,2173.3050086187473,3,2,3,8
10019,45,8,5071.024421623793,3,5,5,13
10020,153,5,2079.980940596707,1,3,2,6
10021,32,4,2595.5255389218682,4,2,3,9
10022,167,4,1717.514155880735,1,2,2,5
10023,25,6,3829.0537758695737,4,4,5,13
10024,79,5,2345.717754601383,2,3,3,8
10025,102,3,1103.9614523575592,2,1,1,4
10026,81,5,3463.7855515186097,2,3,4,9
10027,21,8,3573.05639074733,4,5,5,14
10028,41,14,4935.516239037761,4,5,5,14
10029,245,3,1042.2597290180652,1,1,1,3
10030,6,4,1857.7285257726242,5,2,2,9
10031,10,4,2912.920167569167,5,2,4,11
10032,68,6,3152.8118063112324,3,4,4,11
10033,59,4,2368.027774394416,3,2,3,8
10034,159,5,2060.7321273229154,1,3,2,6
10035,77,2,1037.6401762016426,2,1,1,4
10036,210,1,437.8949462663986,1,1,1,3
10037,34,5,1664.149370954047,4,3,2,9
10038,73,5,3903.5161687222944,3,3,5,11
10039,16,6,2680.1117540549294,5,4,3,12
10040,69,2,1076.794613671612,3,1,1,5
10041,104,3,2196.143406920707,2,1,3,6
10042,61,2,527.1340655299272,3,1,1,5
10043,132,3,2025.0656525509162,2,1,2,5
10044,116,5,2783.422465180575,2,3,4,9
10045,14,7,2925.7317031499874,5,4,4,13
10046,14,4,1133.388916363231,5,2,1,8
10047,54,1,301.29014987057974,3,1,1,5
10048,126,4,1509.4860204891504,2,2,2,6
10049,123,5,2220.341188940572,2,3,3,8
10050,98,5,1898.3447812840488,2,3,2,7
10051,13,8,3446.125391418286,5,5,4,14
10052,100,6,1894.967479121716,2,4,2,8
10053,34,3,1296.8190974913414,4,1,1,6
10054,198,4,2204.480587257375,1,2,3,6
10055,157,5,3058.494191304687,1,3,4,8
10056,27,7,2188.3855820356753,4,4,3,11
10057,56,7,4043.3387834184173,3,4,5,12
10058,11,3,1379.5804786367144,5,1,1,7
10059,1,8,3032.307984165486,5,5,4,14
10060,2,6,3829.392343320385,5,4,5,14
10061,164,6,2593.046725765525,1,4,3,8
10062,18,6,3277.9806657822655,5,4,4,13
10063,60,6,2578.0766564470564,3,4,3,10
10064,16,8,3576.798949969636,5,5,5,15
10065,4,7,3601.6820940178454,5,4,5,14
10066,16,8,3535.3682377172977,5,5,4,14
10067,45,7,4785.619219358107,3,4,5,12
10068,75,5,2392.011616775567,3,3,3,9
10069,6,6,3164.737852325844,5,4,4,13
10070,25,8,4190.489742875496,4,5,5,14
10071,111,1,752.8574056633737,2,1,1,4
10072,71,10,5216.243637052558,3,5,5,13
10073,13,7,2464.3392016239163,5,4,3,12
10074,33,6,2893.203155608867,4,4,4,12
10075,240,2,752.4077177837487,1,1,1,3
10076,74,4,2415.774151922648,3,2,3,8
10077,55,6,1955.5426448076603,3,4,2,9
10078,233,2,1007.6115157062004,1,1,1,3
10079,3,7,4245.436753860005,5,4,5,14
10080,95,4,1572.8654879134206,2,2,2,6
10081,100,4,1479.1312853216655,2,2,2,6
10082,21,6,3612.725751043896,4,4,5,13
10083,56,8,3356.010049184164,3,5,4,12
10084,289,1,119.69709542913685,1,1,1,3
10085,54,4,2131.1365529699024,3,2,3,8
10086,152,6,3001.8015688290075,1,4,4,9
10087,176,2,999.3991018003373,1,1,1,3
10088,139,7,3514.0536072637215,1,4,4,9
10089,10,5,2645.281849085744,5,3,3,11
10090,10,7,4477.078682230747,5,4,5,14
10091,1,4,474.02544762114,5,2,1,8
10092,29,6,2101.678180300826,4,4,3,11
10093,26,6,1715.4607095711508,4,4,2,10
10094,27,5,4585.581357546848,4,3,5,12
10095,125,4,2083.972793013844,2,2,2,6
10096,42,4,1576.9564381501682,4,2,2,8
10097,96,6,2523.0615637732335,2,4,3,9
10098,5,5,1524.8294004057816,5,3,2,10
10099,84,7,5131.740638282867,2,4,5,11
10100,23,4,2229.9073057941887,4,2,3,9
10101,150,7,3420.102153467499,1,4,4,9
10102,83,5,1639.4915843578137,2,3,2,7
10103,32,5,3139.7274686639344,4,3,4,11
10104,130,3,1847.222043000691,2,1,2,5
10105,13,7,4245.405217271714,5,4,5,14
10106,142,9,4789.6757412990755,1,5,5,11
10107,51,7,2152.2882382032967,3,4,3,10
10108,87,7,3516.953120977154,2,4,4,10
10109,146,3,1254.7371191951001,1,1,1,3
10110,122,3,1103.4258221169089,2,1,1,4
10111,11,5,2704.6798990561683,5,3,3,11
10112,4,8,4442.165272626254,5,5,5,15
10113,207,5,2229.4846490400596,1,3,3,7
10114,143,4,2661.6174066926246,1,2,3,6
10115,8,4,3463.780645082107,5,2,4,11
10116,197,2,665.1540205375618,1,1,1,3
10117,13,5,2743.716273866872,5,3,4,12
10118,124,4,1535.2194902812687,2,2,2,6
10119,37,7,2629.6955173571732,4,4,3,11
10120,4,3,1740.454654904308,5,1,2,8
10121,67,5,2971.062762321855,3,3,4,10
10122,88,7,3306.952286087517,2,4,4,10
10123,220,4,1882.6490183476665,1,2,2,5
10124,29,5,2584.448796527747,4,3,3,10
10125,34,3,1585.241819559017,4,1,2,7
10126,81,11,5261.782750139807,2,5,5,12
10127,25,6,2705.021721403596,4,4,3,11
10128,142,4,1667.5455491474106,1,2,2,5
10129,164,3,1442.4068834687612,1,1,2,4
10130,33,8,4008.2727186578477,4,5,5,14
10131,7,6,1586.8351317310253,5,4,2,11
